,placement,player,archetype,deck_id,deck_cost
0,1,Edgar Cabanas,Kashtira,kashtira-329457,$227.93
1,2,Adan Silva,Superheavy Samurai,superheavy-samurai-329459,$93.60
2,3,Javier Ovando,Mathmech,mathmech-329460,$78.98
3,4,<unknown duelist>,,,
4,5,Donovan Javier,Kashtira,kashtira-329118,$213.49
5,6,<3 unknown Top 8 duelists>,,,
6,7,Barush Estrada,Swordsoul,tenyi-swordsoul-329467,$95.48
7,8,Juan Francisco Copado,Superheavy Samurai,kashtira-superheavy-samurai-329461,$196.44
8,9,Alfredo Sierra,Spright,melffy-spright-329463,$127.50
9,10,Jonhathan Va?zquez,Spright,melffy-spright-329462,$154.74
10,11,<4 unknown Top 16 duelists>,,,
