,placement,player,archetype,deck_id
0,1,Rene Pacheco,Labrynth,labrynth-491879
1,2,Victor Sanchez,Snake-Eye,diabellstar-snake-eye-492315
2,3,Angel Borja Aquino,Snake-Eye,diabellstar-snake-eye-491827
3,4,Guillermo Mora,Tenpai Dragon,tenpai-dragon-491876
4,5,Aldo Zenteno,Goblin Biker,speedroid-armored-goblin-biker-491130
5,6,Christopher Alvarado,Snake-Eye,diabellstar-kashtira-snake-eye-492240
6,7,Giovanni Pavon,Snake-Eye,diabellstar-kashtira-snake-eye-492381
7,8,Ulises Sanchez,Snake-Eye,diabellstar-kashtira-snake-eye-491820
8,9,Daniel Nequiz,Mannadium,kashtira-scareclaw-mannadium-492385
9,10,Cristhian Villalpando,Snake-Eye,diabellstar-kashtira-snake-eye-491874
10,11,Cesar Salinas,Snake-Eye,diabellstar-kashtira-snake-eye-491826
11,12,Juan Francisco Figueroa,Fire King,diabellstar-snake-eye-fire-king-492869
12,13,Aaron Felipe Salazar,Fire King,diabellstar-snake-eye-fire-king-493288
13,14,Jair Antonio Contreras,Mannadium,
14,15,Jose Carlo Carrilo Toscano,Snake-Eye,diabellstar-snake-eye-491825
15,16,Mario Santiago,Labrynth,
16,17,Axel Isaac Vela,Snake-Eye,diabellstar-melodious-snake-eye-491808
17,18,Javier Agustin Carbajal,Snake-Eye,
18,19,Roberto Guzman,Fire King,diabellstar-snake-eye-fire-king-492872
19,20,Javier Rodríguez Sosa,Runick,stun-runick-491204
20,21,Carlos Mejia,Tenpai Dragon,kashtira-tenpai-dragon-491213
21,22,Gerardo Sotomayor Meza,Voiceless Voice,kashtira-voiceless-voice-491824
22,23,Eugen Cardiel,Centur-Ion,horus-centur-ion-492866
23,24,Joaquin Viveros Martinez,Snake-Eye,
24,25,Misael Garcia,Snake-Eye,
25,26,Dominik Saul Coba,Snake-Eye,diabellstar-snake-eye-492864
26,27,Jonathan Almaguer,Voiceless Voice,
27,28,Oscar Alberto Mendoza,Voiceless Voice,
28,29,Jorge Alberto Arce,Voiceless Voice,
29,30,Roger Alberto Cruz,Tenpai Dragon,tenpai-dragon-492316
30,31,Roberto Lopez Arce,Tenpai Dragon,
31,32,Jonathan Fernando Vilalo,,
