,placement,player,archetype,deck_id,deck_cost
0,1,Marcus Patel,Rikka,sunavalon-rikka-302997,$119.84
1,2,Zio Mundry,Tearlaments,danger-tearlaments-302998,$91.51
2,3,Lars Junginger,Altergeist,mystic-mine-altergeist-302999,$59.27
3,4,Matteo Giugni,Spright,evil-twin-spright-303002,$138.72
4,5,Luka Forjan,Tearlaments,p-u-n-k-danger-tearlaments-303232,$45.92
5,6,Ryhan Jabri,Spright,adventurer-spright-303026,$124.08
6,7,Joshua Schmidt,Spright,power-spell-spright-303055,$100.00
7,8,Federico Mecozzi,Spright,spright-303021,$137.67
8,9,Alessio Cefola,Spright,adventurer-p-u-n-k-spright-303100,$125.53
9,10,Vladis Baranovskis,Tearlaments,danger-tearlaments-303101,$70.36
10,11,Henry Bancroft,Tearlaments,danger-tearlaments-303099,$85.77
11,12,Herman Hansson ,Tearlaments,danger-tearlaments-303059,$102.97
12,13,Federico Pastore,Spright,spright-303021,$137.67
13,14,Calum Cook,Spright,spright-303284,$130.31
14,15, Georgi Danev,Spright,spright-303104,$106.82
15,16,Matteo Mordanini,Spright,spright-303056,$125.34
16,17,Gianluca Vagnoni,Spright,adventurer-p-u-n-k-spright-303100,$125.53
17,18,Shawn Smet,Spright,adventurer-spright-303105,$109.86
18,19,Alex Robertson,Rikka,sunavalon-rikka-302997,$119.84
19,20,Marco Toniolo,Tearlaments,danger-tearlaments-513841,$111.00
20,21,David Erpen,Spright,adventurer-spright-514938,$138.31
21,22,Patrick Döbelin,Tearlaments,danger-tearlaments-513847,$82.76
22,23,Brice Dodeller,Spright,adventurer-spright-303026,$124.08
23,24,Lucas Lancelot,Spright,adventurer-spright-303026,$124.08
24,25,Tri Tai,Spright,spright-303108,$117.62
25,26,Robin Dulin,Sky Striker,sky-striker-303214,$54.26
26,27,Bastian Vetter,Floowandereeze,floowandereeze-513814,$91.54
27,28,Pietro Dardini,Floowandereeze,,
28,29,Danilo Romano,Spright,spright-513839,$162.61
29,30,Simone Zoffoli,,,
30,31,Imran Khan,,,
31,32,Owen Wilson,,,
32,33,Giovanni Zerbo,Dragon Link,adventurer-p-u-n-k-dragon-link-514005,$91.29
33,34,Matthew Chen,Tearlaments,p-u-n-k-danger-tearlaments-514968,$78.98
34,35,Aatu Gröhn,Spright,adventurer-spright-513850,$125.98
35,36,Daniel Hartmann,Tearlaments,danger-tearlaments-513970,$98.51
36,37,Lorenzo Santoni,Tearlaments,danger-tearlaments-513971,$81.49
37,38,Leon Kadrija,Tearlaments,spright-tearlaments-514015,$150.22
38,39,Eteeyen Ita,Tearlaments,danger-tearlaments-514918,$97.65
39,40,Fabio Zuccato,Tearlaments,danger-tearlaments-514920,$93.85
40,41,Ammad Raja,Tearlaments,danger-tearlaments-514972,$114.19
41,42,Valentin Bouvard,Mathmech,adventurer-mathmech-514963,$57.77
42,43,Pierluigi Sorrentino,Tearlaments,danger-tearlaments-514921,$94.35
43,44,Luke Parkes,Tearlaments,danger-tearlaments-514976,$109.56
44,45,Jan Hornig,Spright,evil-twin-spright-515026,$126.61
45,46,Georgi Kovachev,Eldlich,,
46,47,Andrea Vandini,Floowandereeze,floowandereeze-513854,$104.01
47,48,Francesco Papini,Spright,spright-513952,$152.64
48,49,Bradley Haywood,Spright,power-spell-spright-513958,$126.83
49,50,Diego Ganzerli,Floowandereeze,floowandereeze-513977,$95.84
50,51,Lorenzo Massi,Spright,spright-514011,$138.24
51,52,Baptiste Derouin,Tearlaments,,
52,53,Andreas Vrellos,Spright,,
53,54,Max Weißenberg,Tearlaments,,
54,55,Lorenzo Muselli,Tearlaments,tearlaments-515030,$79.92
55,56,Eugenio Massi,Spright,spright-514012,$138.66
56,57,Karlo Lukic,,,
57,58,Jeremy Servary,,,
58,59,Alexis Quatreville-Rospabe,,,
59,60,Kostis Girtsekis,,,
60,61,Giannis Petrou,,,
61,62,Jason Robertson,,,
62,63,Conor Dwyer,,,
63,64,Xuri Wang,,,
64,65,Donovan Beriot,Spright,adventurer-spright-303026,$124.08
65,66,Jessica Robinson,Rikka,sunavalon-rikka-302997,$119.84
66,67,Philip Weidinger,Spright,spright-515110,$143.08
67,68,Tom Kleinegräber,Spright,spright-303108,$117.62
68,69,Stephano Fostieris,Despia,,
69,70,<59 unknown Top 128 duelists>,,,
