,placement,player,archetype,deck_id,deck_cost
0,1,Carlos Henrique De Araujo Freitas,Harpie,harpie-395921,$82.70
1,2,Galo Guillermo Orbea Davila,Bujin,bujin-395922,$75.83
2,3,Leandro Rodriguez Correa,Dark World,dark-world-395923,$27.17
3,4,Daniel Aires Rego Bastos,Fire Fist,fire-fist-395924,$59.09
4,5,Jaime Alves Da Silveira,Constellar,constellar-395925,$44.72
5,6,Eduardo Da Costa Neves	,Harpie,harpie-395926,$62.73
6,7,<2 unknown Top 8 duelists>,,,
7,8,Hector Lorenzo Perez Herrera,Mermail,mermail-395928,$136.01
8,9,Lucas Kenji Kurokawa,Constellar,constellar-395929,$51.41
9,10,Fabio Henrique De Proenca Da Silva,Fire Fist,fire-fist-395932,$74.32
10,11,Cezar Victor Lopez Coscia,Spellbook,spellbook-395930,$68.47
11,12,Evandro Cassio Cruz,Bujin,bujin-395931,$50.64
12,13,<3 unknown Top 16 duelists>,,,
